Rank,Prioridade,Finalidade,Status,Gerências,GPM,NOTA,ORDEM,DESCRICAO,Critério,OM - Status Sistema,OM - Status Usuário,Prazo demanda
3838,1,00000000,Programável,REFINO,COM,15220737,2029095989,O-552 - Reconstituir graute base norte,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-24
3839,1,00000000,Programável,REFINO,COM,15222596,2029095988,M-522A - Reconstituir graute base norte,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-25
3840,1,00000000,Programável,TRANSFERÊNCIA,COM,15228541,2029234616,SPC-POL-Pint.Pont.Test.MI(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-28
3841,1,00000000,Programável,SMS,CAL,15354378,2029598780,D-900RACE(H-176)[VAZ]-Elim.vaz.válvulas,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC APRE,2026-05-05
3842,1,00000000,Programável,SMS,COM,15427264,2029586805,P-837B-Pintar trecho linha RACE,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC APRE,2026-06-10
3843,1,00000000,Programável,UTILIDADES,COM,15473541,2029379698,O-5121003E-Pint./Recup.Chumb.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-07-04
3844,1,00000000,Programável,UTILIDADES,COM,15473540,2029379699,O-5121003D-Pint./Recup.Chumb.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-07-04
3845,1,00000000,Programável,UTILIDADES,COM,15473539,2029379701,O-5121003C-Pint./Recup.Chumb.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-07-04
3846,1,00000000,Programável,UTILIDADES,COM,15473538,2029379702,O-5121003B-Pint./Recup.Chumb.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-07-04
3847,1,00000000,Programável,TRANSFERÊNCIA,CAL,15565582,2029753408,FL-4501B-Inst.suporte da tampa do filtro,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-08-19
3848,1,00000000,Programável,UTILIDADES,CAL,15566984,2029702024,U-5121(O-5121005ABCDE)-Remov.CAT.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-08-20
3849,1,00000000,Programável,UTILIDADES,CAL,15566983,2029702025,U-5121(O-5121004ABCDE)-Remov.CAT.(ZR),ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-08-20
3850,1,00000000,Programável,TRANSFERÊNCIA,COM,15615245,2029969586,D-800G-Pintura de trecho de tubulação,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-09-13
3851,1,00000000,Impedido,REFINO,CAL,14304058,2027461461,M-532B Confecção e instalação (PLACA)(SE,ZR-D Abertas até 630 dias,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2026-09-28
3852,1,00000000,Programável,UTILIDADES,COM,14701236,2028167096,P-419-Pintura.Geral(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-07-17
3853,1,00000000,Impedido,HDT,CAL,14870702,2028791345,M-5126206-Instalar placa identificação,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MOME NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2025-08-12
3854,1,00000000,Impedido,HDT,CAL,14870902,2028797146,M-5126207-Confeccionar/Instalar Placa,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV MOME NOLQ,IMPD TRIA ANEX EQEC MPMI 1ESC,2025-08-12
3855,1,00000000,Microplanejamento,TRANSFERÊNCIA,COM,14881956,2028952689,DT-NGB-GLP-Pint.Tub.(ZR),ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP MPMI,2025-08-18
3856,1,00000000,Programável,REFINO,CAL,14886016,2028791344,M-605B-Confeccionar/instalar Placa dados,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-08-20
3857,1,00000000,Programável,REFINO,COM,14950492,2029969175,M-500102A- Pintura externa,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-09-25
3858,1,00000000,Programável,REFINO,COM,14950489,2029969176,M-500102B - Pintura externa,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-09-25
3859,1,00000000,Impedido,REFINO,MEC,14961612,2029328756,PSV-57801 - Substituir disco e bocal,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV MOME NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-10-02
3860,1,00000000,Falta material,REFINO,MEC,14960780,2029781452,PSV-70205 - Substituir PSV,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI MPOP 1ESC,2025-10-02
3861,1,00000000,Falta material,HDT,MEC,14993071,2028958603,PSV-2313460B SUBSTITUIR PSV,ZR-D Abertas até 630 dias,LIB  IMPR CAPC MatC NOLQ,FMAT IMPD TRIA EQEC ANEX MPOP MPMI 1ESC APRE,2025-10-19
3862,1,00000000,Impedido,UTILIDADES,CAL,13624394,2026007814,O-353B-Realizar manutenção geral(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC MOME MatC NOLQ,IMPD OPER TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-10-23
3863,1,00000000,Microplanejamento,TRANSFERÊNCIA,COM,15071720,2029006193,DT-POL-PROPENO - Pintura geral,ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP MPMI,2025-12-01
3864,1,00000000,Programável,REFINO,CAL,15082735,2029094619,M-617 - Fixar placa de dados,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-12-07
3865,1,00000000,Programável,REFINO,COM,15084597,2029669960,N-612-Recompor graute danificado,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-12-08
3866,1,00000000,TO GPI - Aguarda MSPR,REFINO,CAL,15083568,,M-756 Usinagem sedes vedação,ZR-D Abertas até 630 dias,,,2025-12-08
3867,1,00000000,Programável,REFINO,CAL,15089378,2029669963,N-1202-Recompor guarda-corpo danificado,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-12-10
3868,1,00000000,Programável,REFINO,COM,15089337,2029669964,N-1202-Recompor isolamento danificado,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-12-10
3869,1,00000000,TIE GPI - Encerrar nota,REFINO,COM,15096067,2029564648,D-608 (O-620 tub) Pintura deteriorada,ZR-D Abertas até 630 dias,,,2025-12-16
3870,1,00000000,Impedido,REFINO,COM,15102169,2029673107,N-503-Recompor isolamento danificado,ZR-D Abertas até 630 dias,LIB  IMPR CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2025-12-19
3871,1,00000000,Programável,REFINO,COM,15102171,2029673108,N-606-Reparos de complementar,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-12-19
3872,1,00000000,Microplanejamento,REFINO,COM,15142132,2030120540,N-506-Recompor isol.térmico/limpeza,ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP MPMI,2026-01-11
3873,1,00000000,Impedido,TRANSFERÊNCIA,COM,13738068,2026460600,SPC-NGB(CAPTAÇÃO)-Pintura Geral(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP OPER 1ESC,2026-01-20
3874,1,00000000,Microplanejamento,TRANSFERÊNCIA,COM,15163151,2029023867,D-800-PP-Pint.Linh.P-836(ZR),ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP MPMI,2026-01-22
3875,1,00000000,Programável,REFINO,COM,15221097,2029094621,M-514A/B-Pintura do equipamento,ZR-D Abertas até 630 dias,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-02-24
3876,1,00000000,TIE GPI - Encerrar nota,REFINO,COM,15221347,2029094623,M-516B- Pintura geral do equipamento,ZR-D Abertas até 630 dias,,,2026-02-24
3877,1,00000000,Programável,REFINO,COM,15221318,2029094624,M-516A- Pintura geral do equipamento,ZR-D Abertas até 630 dias,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-02-24
3878,1,00000000,Programável,HDT,CAL,15227087,2029231862,M-2311001 - Substituir Placa NR-13,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-27
3879,1,00000000,Programável,TRANSFERÊNCIA,COM,15228538,2029351340,SPC-NGB-Pint.Pont.Test.DPJI/Flang.(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-28
3880,1,00000000,Programável,TRANSFERÊNCIA,CAL,15228540,2029351343,SPC-NGB-Repar.Sold.CaboxDuto(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-28
3881,1,00000000,Programável,TRANSFERÊNCIA,COM,15228285,2029351447,SPC-CIAS-Recomp.Leit.Anod.(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-02-28
3882,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,COM,15228281,,SPC-CIAS - Pintura flanges,ZR-D Abertas até 630 dias,,,2026-02-28
3883,1,00000000,Programável,REFINO,COM,15245976,2029969605,O-1213A - Limpeza externa,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2026-03-09
3884,1,00000000,Programável,REFINO,COM,15245492,2030175831,M-704-Realizar Pintura externa,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-03-09
3885,1,00000000,Falta material,REFINO,CAL,13919982,2027089289,D-604B(J-616AB)-Substit.Válvs.Sucç.(ZR),ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MATF MOME NOLQ,IMPD OPER TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2026-04-08
3886,1,00000000,TO GPI - Aguarda TRIA,TRANSFERÊNCIA,COM,15400595,2029492189,DT-POL-GR(RuaC;Av.1xAv.2)-Pint.Linh.(ZR),ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP ANEX MPMI,2026-05-27
3887,1,00000000,Microplanejamento,TRANSFERÊNCIA,COM,15427260,2029491963,D-800-INT-837B(P-837B)-Pint.Isol.(ZR),ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP MPMI,2026-06-10
3888,1,00000000,Programável,REFINO,COM,15430279,2029968275,O-664A - Pintura de TAG e Categoria,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-06-11
3889,1,00000000,Microplanejamento,REFINO,COM,15441812,2029697614,DT-PQU-HLR-Pintura da linha,ZR-D Abertas até 630 dias,ABER CAPC KKMP,SIMP ANEX MPMI,2026-06-17
3890,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,COM,15459123,,DT-CIAS-GLP: Limpeza e pintura de linhas,ZR-D Abertas até 630 dias,,,2026-06-27
3891,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,COM,15459950,,D-800N2: pintura deteriorada,ZR-D Abertas até 630 dias,,,2026-06-27
3892,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,CAL,15459948,,SPC-CIAS - Substituir cartuchos isolante,ZR-D Abertas até 630 dias,,,2026-06-27
3893,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,CAL,15459126,,SPC-NGB - Substituir elemento isolante,ZR-D Abertas até 630 dias,,,2026-06-27
3894,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,COM,15459949,,DT-CIAS-GLP - Reparos gerais,ZR-D Abertas até 630 dias,,,2026-06-27
3895,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,ELE,15459127,,SPC-CIAS - Realizar by pass da junta iso,ZR-D Abertas até 630 dias,,,2026-06-27
3896,1,00000000,Medida Aguardando CTEC,TRANSFERÊNCIA,CAL,15459124,,SPC-POL - Substituir elemento isolante,ZR-D Abertas até 630 dias,,,2026-06-27
3897,1,00000000,Programável,REFINO,COM,15464800,2029906511,M-602-Pintar TAG e Categoria,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-06-29
3898,1,00000000,Falta material,UTILIDADES,COM,15473217,2029379705,O-5121003A-Pint./Recup.Chumb.(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-07-04
3899,1,00000000,Programável,UTILIDADES,COM,15473683,2029380513,OSMOSE2-Pint.Suport./Colun./Imperm.(ZR),ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-07-04
3900,1,00000000,TIE GPI - Encerrar nota,UTILIDADES,MEC,14088371,2027018690,PSE-30095/6/7 - Substituição,ZR-D Abertas até 630 dias,,,2026-07-15
3901,1,00000000,Falta material,REFINO,CAL,15529149,2029967985,O-589-Recompor parafuso da base,ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2026-08-02
3902,1,00000000,Falta material,UTILIDADES,CAL,15553518,2029621037,D-300(J-356AB)[VAZ]-Subst.Trech.(ZR),ZR-D Abertas até 630 dias,LIB  CAPC IMPA MATF NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP OPER 1ESC,2026-08-13
3903,1,00000000,TIE GPI - Encerrar nota,REFINO,MEC,14274243,2027918074,PSV-50125 - Substituir Bocal e Disco,ZR-D Abertas até 630 dias,,,2026-08-24
3904,1,00000000,Falta material,UTILIDADES,CAL,15605765,2029621036,D-300AD(AV.8)[VAZ]-Inst.Ref.Estr.(ZR),ZR-D Abertas até 630 dias,LIB  CAPC DMNV IMPA MATF NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC,2026-09-08
3905,1,00000000,TO GPI - Medida Aguardando RECB,REFINO,CAL,15616936,,M-546 - Retubagem do feixe.,ZR-D Abertas até 630 dias,,,2026-09-14
3906,1,00000000,TO GPI - Aguarda MSPR,REFINO,CAL,15681144,,M-647 - Retubagem do feixe,ZR-D Abertas até 630 dias,,,2026-10-14
3907,1,00000000,TO GPI - Aguarda MSPR,REFINO,CAL,15682233,,M-592B - Retubagem do feixe,ZR-D Abertas até 630 dias,,,2026-10-15
3908,1,00000000,Impedido,TRANSFERÊNCIA,MEC,15748446,2030065069,PSV-80235 - Substituir a PSV,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2026-11-18
3909,1,00000000,TO GPI - Aguarda MSPR,TRANSFERÊNCIA,TQC,15749880,,P-807C - Reparar pintura do teto,ZR-D Abertas até 630 dias,,,2026-11-19
3910,1,00000000,TO GPI - Aguarda MSPR,REFINO,CAL,15753880,,M-757 - Substituição do casco e carretel,ZR-D Abertas até 630 dias,,,2026-11-22
3911,1,00000000,Medida Aguardando CTEC,HDT,CAL,15771545,,D-5126-6E,ZR-D Abertas até 630 dias,,,2026-12-01
3912,1,00000000,Programável,REFINO,COM,15808945,2030174082,O-586-Execut.reparos isolamento térmico,ZR-D Abertas até 630 dias,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2026-12-23
3913,1,00000000,TO GPI - Medida Aguardando RECB,UTILIDADES,CAL,15815115,,M-583 - Chapa de proteção danificada,ZR-D Abertas até 630 dias,,,2026-12-27
3914,1,00000000,Microplanejamento,TRANSFERÊNCIA,CAL,15834383,2030072020,P-801I - Reparo teto flutuante (ZR),ZR-D Abertas até 630 dias,LIB  CAPC DMNV NOLQ,SIMP MPMI PMAU,2027-01-05
3915,1,00000000,TO GPI - Medida Aguardando RECB,REFINO,CAL,15858634,,M-532B - Nota de Campanha - Pluguear,ZR-D Abertas até 630 dias,,,2027-01-17
3916,1,00000000,TO GPI - Medida Aguardando RECB,SOP,CAL,15862378,,O-0200218 - Reinstalar cabo terra,ZR-D Abertas até 630 dias,,,2027-01-19
3917,1,00000000,TO GPI - Medida Aguardando RECB,UTILIDADES,CAL,15969585,,M-579 - Manutenção,ZR-D Abertas até 630 dias,,,2027-03-15
3918,1,Impacto a Cliente Externo,Parada,TRANSFERÊNCIA,PAR,13506744,2025655372,"O-0800109A(J-0800109A)-Subst.Válv.3""",Impacto à cliente externo,LIB  IMPR CAPC MatC NOLQ,IMPD TRIA EQEC ANEX PPRO MPOP MPMI 1ESC APRE,2026-11-30
3919,1,Apoio de Rotina a Operação,Programável,REFINO,CAL,14210621,2027010852,J-643A-Adequar drenos tubulação WR,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-02
3920,1,Continuidade Operacional,Impedido,HDT,CAL,14987824,2028454709,D-5126-6D(O-5126001)-Desobs. tubulação,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-02
3921,1,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,CAL,15004447,2028491904,J-855A/B-Limpar filtro sucção,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2025-06-02
3922,1,Continuidade Operacional,Programável,UTILIDADES,MEC,15580855,2029580742,J-579E TROCA DAS ROLDANAS,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE IMED,2025-06-03
3923,1,Continuidade Operacional,Programável,HDT,CAL,15928932,2030262891,D-22256X(J-2225501B)-Limp.Filtr.,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-06-03
3924,1,Apoio de Rotina a Operação,Programável,HDT,CAL,15166726,2028952700,J-2313011B-Soldar bucha 2º bloq. DEA,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2025-06-05
3925,1,Apoio de Rotina a Operação,Programável,UTILIDADES,CAL,15763330,2029940462,K-318-Inst.Prolong.Escad.Válv.Desv.Dren.,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-05
3926,1,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,CAL,15934383,2030264602,ETDI(O-803A)-Instal.Bomb.Móv./Comport.,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-06-06
3927,1,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,ELE,15939379,2030285959,P-837C P837C Subst Cx prot,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-06
3928,1,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,ELE,15939369,2030293247,ARMAZENAMENTO P-837A Subst Cx prot,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-06
3929,1,Continuidade Operacional,Programável,REFINO,CAL,14889226,2028428647,LV-64013C(Tub)-Subst. válvula bypass,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-09
3930,1,Continuidade Operacional,Programável,UTILIDADES,MEC,15939425,2030286951,J-425C VIBRAÇÃO ELEVADA,Apoio de Rotina à Operação/Continuidade Operacional,TENC LIB  CNPA IMPR CAPC DMNV JBFI KKMP*,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-06-11
3931,1,Apoio de Rotina a Operação,Programável,REFINO,CAL,15774314,2030143771,M-595A-Substituir válv.dreno casco,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC APRE,2025-06-12
3932,1,Continuidade Operacional,Programável,TRANSFERÊNCIA,ELE,15364857,2029176993,P-801J - Revisão do motor reserva,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA CAPC DMNV KKMP MOME NOLQ,SIMP TRIA ANEX EQEC MPMI ABCO 1ESC,2025-06-15
3933,1,Continuidade Operacional,Falta material,UTILIDADES,CAL,14567477,2027702136,D-300(J-380A)-Subst.Válv.,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC MOME MatC NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI MPOP 1ESC,2025-06-16
3934,1,Apoio de Rotina a Operação,Programável,REFINO,CAL,15422916,2029281221,O-580/O-579-Conectar mangote p/desc.cat.,Apoio de Rotina à Operação/Continuidade Operacional,TENC LIB  CNPA IMPR CAPC DMNV JBFI MOME*,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-06-17
3935,1,Continuidade Operacional,Programável,UTILIDADES,INS,15839383,2030176030,CAFOR FT-40905 Indicação duvidosa,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-06-17
3936,1,Apoio de Rotina a Operação,Programável,REFINO,CAL,15901633,2030239319,J-1202B-Subst.haste válvula esfera,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-17
3937,1,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,ELE,15902117,2030237062,P-808A-Revisar iluminação,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-20
3938,1,Continuidade Operacional,Falta material,UTILIDADES,ELE,15433484,2029312766,PL-Z-301-BM Reformar painel elétrico,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MATF MOME NOLQ,FMAT SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC,2025-06-24
3939,1,Continuidade Operacional,Programável,TRANSFERÊNCIA,ELE,15932635,2030261674,J-839DE(GM)-Revisar gaveta/remover cabos,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-06-27
3940,1,Continuidade Operacional,Impedido,REFINO,CAL,15400495,2029252826,M-572/574-Reapertar estojos flanges,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,IMPD OPER TRIA EQEC PMAU ANEX MPMI 1ESC APRE,2025-06-28
3941,1,Continuidade Operacional,Falta material,HDT,CAL,15862996,2030130917,J-2225505A-Revisar retenção,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MATF NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-06-28
3942,1,Continuidade Operacional,Programável,HDT,INS,14455241,2027488611,FT-2225524 gerando ruído na rede,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP ABCO 1ESC,2025-06-30
3943,1,Continuidade Operacional,Programável,UTILIDADES,AUT,14627816,2027799980,UC-1217 FF1217_RM07_H2 em falha,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-06-30
3944,1,Continuidade Operacional,Programável,TRANSFERÊNCIA,INS,14655380,2027866971,LIT-80099 Temperatura P805D,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP APRE,2025-06-30
3945,1,Continuidade Operacional,Falta material,TRANSFERÊNCIA,INS,14831269,2028166078,HV-80260A Válv. entrada P801C dando pass,Apoio de Rotina à Operação/Continuidade Operacional,LIB  CNPA CAPC DMNV IMPA MATF NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-06-30
